id,pr,acc
1,0,0.000221218618397027
2,0,0.000148288193706958
3,0,0
4,0,3.28058736602202E-05
5,0.00212739331748217,0
6,0,0.00023525596898711
7,0,0.000199258837791899
8,0,5.52030255686882E-05
9,0,0.000116878952495111
10,0.00078212989613315,0.000697405932271647
11,0.00078212989613315,0
12,0,0.000508462657674258
13,0.00078212989613315,0
14,0,0.000307968679793341
15,0,5.35904012724746E-05
16,0,8.73113672663142E-05
17,0,0.000253888014039032
18,0,0.000539838499277193
19,0,0.000609928366917182
20,0,8.86509658880233E-06
21,0,2.6595289766407E-05
22,0,0.000172931178324224
23,0,0.00103978476655005
24,0,0.000217912567574682
25,0,0.00121985673383436
26,0,0.000155636881058866
27,0,0
28,0,0.000166828279822632
29,0.00078212989613315,0.000105724403885658
30,0.00078212989613315,0.000151379590853969
31,0,0.000552658325939855
32,0,0.000250035160051744
33,0,5.48176822087995E-05
34,0,0.000176441976740333
35,0,0.000253888014039032
36,0,1.19048032337109E-05
37,0,0.000809757748915789
38,0,5.82392421175841E-05
39,0,8.497128625708E-05
40,0.00078212989613315,0.000311590954038679
41,0,6.62436306824258E-05
42,0.00190839694656489,0
43,0,0.000654217050039175
44,0,1.24827636341269E-05
45,0,0.00010362046618099
46,0,0.0002492107680393
47,0,8.73588631763761E-05
48,0,0.000107180802544949
49,0,0.00023525596898711
50,0,0.000267623589271011
51,0.00078212989613315,0.000170963434894286
52,0,1.76647294967015E-05
53,0,0.000267623589271011
54,0,0.000391869714621394
55,0.00078212989613315,6.22245965075544E-06
56,0,0
57,0,0.000300444493026989
58,0,1.58730709782812E-05
59,0,0.000333380213402325
60,0.00078212989613315,0.000116478484235168
61,0.00078212989613315,0
62,0,0.000116878952495111
63,0.00078212989613315,0.000175989126538444
64,0.00226817669878613,0
65,0,1.32976448832035E-05
66,0,0.000674798124096491
67,0.00078212989613315,0.000529284061790774
68,0.00078212989613315,9.2213998990228E-05
69,0.00078212989613315,0
70,0.00078212989613315,0.000174622734532628
71,0,0.000176441976740333
72,0.00134526342134902,0
73,0,0.00019848152317154
74,0,2.56573635870858E-05
75,0.00078212989613315,3.5329458993403E-05
76,0,0.000369630400149941
77,0.00078212989613315,0
78,0,0.000137778077512761
79,0,0.000276523272996283
80,0.00078212989613315,0.000685772000587439
81,0,5.84394762475557E-05
82,0,3.45256056952542E-05
83,0.00078212989613315,0.000151379590853969
84,0,0.000199258837791899
85,0,0.000467386431058018
86,0,0.000461953019690012
87,0,1.16197321830744E-05
88,0,2.20812102274753E-05
89,0,3.78021351216626E-07
90,0,0.000147958102441174
91,0,0.000923906039380023
92,0,3.45256056952542E-05
93,0,0
94,0,0.000186908076029475
95,0,0.000404878874457895
96,0,7.3090242945066E-05
97,0,0.00121985673383436
98,0,0.000922751543570594
